author_name,university_name,homepage,source_file
Abhaya Kumar Sahoo,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/abhaya-kumar-sahoo,csrankings-a.csv
Abhi Shelat,Northeastern University,https://shelat.khoury.northeastern.edu,csrankings-a.csv
Abhijeet Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,csrankings-a.csv
Abhijit Das 0004,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,csrankings-a.csv
Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,csrankings-a.csv
Abhijit S. Pandya,Florida Atlantic University,http://pire.fiu.edu/faculty/Dr_Pandya.php,csrankings-a.csv
Abhijnan Chakraborty,IIT Kharagpur,https://cse.iitkgp.ac.in/~abhijnan,csrankings-a.csv
Abhik Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,csrankings-a.csv
Abhilash Jindal,IIT Delhi,http://abhilash-jindal.com,csrankings-a.csv
Abhinav Bhatele,University of Maryland - College Park,http://www.cs.umd.edu/~bhatele,csrankings-a.csv
Abhinav Dhall,IIT Ropar,http://www.iitrpr.ac.in/cse/abhinavdhall,csrankings-a.csv
Abhinav Gupta 0001,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,csrankings-a.csv
Abhinav Kumar Singh,University of Southampton,https://www.ecs.soton.ac.uk/people/aks1a19,csrankings-a.csv
Abhinav Shrivastava,University of Maryland - College Park,http://abhinavsh.info,csrankings-a.csv
Abhinav Verma 0001,Pennsylvania State University,https://averma8053.github.io,csrankings-a.csv
Abhir Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,csrankings-a.csv
Abhir H. Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,csrankings-a.csv
Abhiram G. Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,csrankings-a.csv
Abhiram Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,csrankings-a.csv
Abhisek Chakrabarty,BITS Pilani-Goa,https://abhisek-chakrabarty.github.io,csrankings-a.csv
Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,csrankings-a.csv
Abhishek Bichhawat,IIT Gandhinagar,https://iitgn.ac.in/faculty/cse/abhishek,csrankings-a.csv
Abhishek Chandra,University of Minnesota,http://www-users.cs.umn.edu/~chandra,csrankings-a.csv
Abhishek Dubey,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=abhishek-dubey,csrankings-a.csv
Abhishek Gupta 0004,University of Washington,https://abhishekunique.github.io,csrankings-a.csv
Abhishek Jain 0002,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,csrankings-a.csv
Abhishek Kr Singh,Tel Aviv University,https://sites.google.com/view/abhishek-singh/home,csrankings-a.csv
Abhishek Mishra,BITS Pilani,http://www.bits-pilani.ac.in/pilani/abhishekmisra/profile,csrankings-a.csv
Abhishek Moitra,Washington State University,https://school.eecs.wsu.edu/directory/wsu-profile/abhishek.moitra,csrankings-a.csv
Abhishek Ray,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/abhishek-ray,csrankings-a.csv
Abhishek Sarkar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,csrankings-a.csv
Abhishek Sinha,Tata Inst. of Fundamental Research,https://abhishek-sinha-tifr.github.io,csrankings-a.csv
Abhishek Srivastava,IIT Indore,http://cse.iiti.ac.in/faculty.html,csrankings-a.csv
Abhradeep Guha Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,csrankings-a.csv
Abhradeep Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,csrankings-a.csv
Abhranil Chatterjee 0001,IIT Kanpur,https://cabhranil.bitbucket.io,csrankings-a.csv
Abilio Lucena,UFRJ,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/2201-abiliolucena,csrankings-a.csv
Abir Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~adas,csrankings-a.csv
Abir De,IIT Bombay,https://abir-de.github.io,csrankings-a.csv
Abiy Tasissa,Tufts University,https://engineering.tufts.edu/cs/people/faculty/abiy-tasissa,csrankings-a.csv
Abolfazl Asudeh,University of Illinois at Chicago,https://asudeh.github.io,csrankings-a.csv
Abolfazl Razi,Clemson University,https://arazi.people.clemson.edu,csrankings-a.csv
Abolfazl S. Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,csrankings-a.csv
Abolfazl Seyed Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,csrankings-a.csv
Aboubaker Lasebae,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/lasebae-aboubaker,csrankings-a.csv
Abraham Bernstein,University of Zurich,http://www.ifi.uzh.ch/ddis/people/bernstein.html,csrankings-a.csv
Abraham Duarte,Universidad Rey Juan Carlos,http://grafo.etsii.urjc.es/group-member/abrahamduarte,csrankings-a.csv
Abraham G. Campbell,University College Dublin,https://people.ucd.ie/abey.campbell,csrankings-a.csv
Abraham Silberschatz,Yale University,http://www.cs.yale.edu/~avi,csrankings-a.csv
Abram Hindle,University of Alberta,http://softwareprocess.es,csrankings-a.csv
Abtin Rahimian,University of Colorado Boulder,http://home.cs.colorado.edu/~abra3237,csrankings-a.csv
Abu Ahmed Ferdaus,University of Dhaka,https://du.ac.bd/body/faculty_details/CSE/1775,csrankings-a.csv
Abu Asaduzzaman,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/ECE/Asaduzzaman-Abu.php,csrankings-a.csv
Abu Sayed Md. Latiful Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,csrankings-a.csv
Abul Kashem,BUET,https://cse.buet.ac.bd/faculty_list/detail/kashem,csrankings-a.csv
Abulhair Saparov,Purdue University,https://asaparov.org,csrankings-a.csv
Abusayeed M. Saifullah,University of Texas at Dallas,https://www.abusayeedsaifullah.com,csrankings-a.csv
Abusayeed Saifullah,University of Texas at Dallas,https://www.abusayeedsaifullah.com,csrankings-a.csv
Abyayananda Maiti,IIT Patna,https://iitp.ac.in/index.php/departments/computer-center/people/head/1095-dr-abyayananda-maiti.html,csrankings-a.csv
Achi Brandt,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2041,csrankings-a.csv
Achille Pattavina,Politecnico di Milano,http://home.deib.polimi.it/pattavina,csrankings-a.csv
Achim Blumensath,Masaryk University,https://www.muni.cz/en/people/237782,csrankings-a.csv
Achim D. Brucker,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/ab1185,csrankings-a.csv
Achim Ebert,TU Kaiserslautern,https://hci.uni-kl.de/people/achim-ebert,csrankings-a.csv
Achim J. Lilienthal,TU Munich,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/pl/ui/$ctx/visitenkarte.show_vcard?$ctx=design=ca2;header=max;lang=de&pPersonenGruppe=3&pPersonenId=6F846EED5618D470,csrankings-a.csv
